Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Lola,8/1/2019,12:00,8/1/2019,13:40,False,"Jacques Demy / Francie, Itálie 1961 / 90 min. / 15 let / DCP
https://www.csfd.cz/film/40861-lola/prehled/
https://www.imdb.com/title/tt0055093/?ref_=fn_tt_tt_11
https://program.lfs.cz/detail/?film=Lola","Uherské Hradiště, Sportovní hala"
"Mirai, dívka z budoucnosti",7/26/2019,17:30,7/26/2019,19:18,False,"Mamoru Hosoda / Japonsko 2018 / 98 min. / HD file
https://www.csfd.cz/film/617696-mirai-divka-z-budoucnosti/prehled/
https://www.imdb.com/title/tt6900448/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Mirai","Uherské Hradiště, Reduta 1"
"Mirai, dívka z budoucnosti",8/3/2019,17:00,8/3/2019,18:48,False,"Mamoru Hosoda / Japonsko 2018 / 98 min. / HD file
https://www.csfd.cz/film/617696-mirai-divka-z-budoucnosti/prehled/
https://www.imdb.com/title/tt6900448/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Mirai","Uherské Hradiště, Kino Mír"
Podivná barva slz tvého těla,8/2/2019,23:59,8/3/2019,1:51,False,"Hélène Cattetová, Bruno Forzani / Belgie, Francie, Lucembursko 2013 / 102 min. / 15 let / DCP
https://www.csfd.cz/film/336625-podivna-barva-slz-tveho-tela/prehled/
https://www.imdb.com/title/tt2733258/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=The-Strange-Colour-of-Your-Body%e2%80%99s-Tears","Uherské Hradiště, Sportovní hala"
Mňága - Happy End,7/27/2019,23:30,7/28/2019,0:32,False,"Petr Zelenka / Česká republika 1996 / 62 min. / HD file
https://www.csfd.cz/film/10081-mnaga-happy-end/prehled/
https://www.imdb.com/title/tt0117066/?ref_=nv_sr_3?ref_=nv_sr_3
https://program.lfs.cz/detail/?film=M%c5%88%c3%a1ga---Happy-End","Uherské Hradiště, Letní kino Smetanovy sady"
Fake News,7/28/2019,12:00,7/28/2019,13:30,False,"90 min.
https://program.lfs.cz/detail/?film=Fake-News","Uherské Hradiště, Stan ČT"
Lekce filmu podle Alexeje Germana ml.,8/1/2019,11:00,8/1/2019,12:30,False,"2019 / 90 min.
https://program.lfs.cz/detail/?film=Masterclass--Alexej-German-Jr","Uherské Hradiště, Klub kultury 2"
"Porno, kvéry a šeptání se stromy",8/1/2019,15:30,8/1/2019,17:00,False,"2019 / 90 min.
https://program.lfs.cz/detail/?film=Porn%2c-Pistols-and-Whispers-with-Trees","Uherské Hradiště, Klub kultury 2"
Nová vlna v množném čísle ženského rodu,7/30/2019,15:30,7/30/2019,17:00,False,"2019 / 90 min.
https://program.lfs.cz/detail/?film=New-Wave-in-Feminine-Plural","Uherské Hradiště, Klub kultury 2"
Free Cinema uvádí: Dílna pixilace,8/2/2019,15:30,8/2/2019,17:30,False,"120 min.
https://program.lfs.cz/detail/?film=Free-Cinema-uv%c3%a1d%c3%ad--D%c3%adlna-pixilace","Uherské Hradiště, Dětský/herní stan"
Brave New VR Worlds: Cesty za uměním,8/1/2019,11:00,8/1/2019,11:40,False,"40 min.
https://program.lfs.cz/detail/?film=Journeys-into-the-World-of-Art","Uherské Hradiště, Reduta 2: VR Kino"
Brave New VR Worlds: Cesty za uměním,8/1/2019,14:30,8/1/2019,15:10,False,"40 min.
https://program.lfs.cz/detail/?film=Journeys-into-the-World-of-Art","Uherské Hradiště, Reduta 2: VR Kino"
Brave New VR Worlds: Cesty za uměním,8/1/2019,18:00,8/1/2019,18:40,False,"40 min.
https://program.lfs.cz/detail/?film=Journeys-into-the-World-of-Art","Uherské Hradiště, Reduta 2: VR Kino"
Brave New VR Worlds: Cesty za uměním,8/2/2019,11:00,8/2/2019,11:40,False,"40 min.
https://program.lfs.cz/detail/?film=Journeys-into-the-World-of-Art","Uherské Hradiště, Reduta 2: VR Kino"
Brave New VR Worlds: Cesty za uměním,8/2/2019,14:30,8/2/2019,15:10,False,"40 min.
https://program.lfs.cz/detail/?film=Journeys-into-the-World-of-Art","Uherské Hradiště, Reduta 2: VR Kino"
Brave New VR Worlds: Cesty za uměním,8/3/2019,11:00,8/3/2019,11:40,False,"40 min.
https://program.lfs.cz/detail/?film=Journeys-into-the-World-of-Art","Uherské Hradiště, Reduta 2: VR Kino"
Brave New VR Worlds: Cesty za uměním,8/3/2019,14:30,8/3/2019,15:10,False,"40 min.
https://program.lfs.cz/detail/?film=Journeys-into-the-World-of-Art","Uherské Hradiště, Reduta 2: VR Kino"
Brave New VR Worlds: Cesty za uměním,8/3/2019,17:00,8/3/2019,17:40,False,"40 min.
https://program.lfs.cz/detail/?film=Journeys-into-the-World-of-Art","Uherské Hradiště, Reduta 2: VR Kino"
